Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND
/instancia_70projetos_2sondas_delta_t7.dat,feasible,0.023782014846801758,0.011891722679138184,64753.71,feasible,0.2507171630859375,0.1253594160079956,65523.1,feasible,0.22770047187805176,0.11385154724121094,67195.0,feasible,92.93723630905151,46.468618988990784,66423.81999999999,feasible,112.90790796279907,56.45395481586456,63940.03,feasible,174.73296213150024,87.36648190021515,59586.18999999999,feasible,70.67318487167358,35.33659338951111,61450.98999999999
/instancia_10projetos_10sondas_delta_t7.dat,feasible,0.005612611770629883,0.0028072595596313477,7003.19,feasible,0.06355428695678711,0.03177809715270996,7016.8,feasible,0.04030203819274902,0.020151853561401367,7016.8,feasible,0.5252125263214111,0.26260697841644287,7003.19,feasible,0.4576117992401123,0.22880661487579346,7003.19,feasible,0.7179594039916992,0.35898053646087646,7003.19,feasible,0.42556166648864746,0.21278178691864014,5876.37
/instancia_160projetos_2sondas_delta_t28.dat,feasible,0.07115697860717773,0.03557932376861572,85147.81000000001,feasible,0.7700774669647217,0.38503968715667725,80098.18999999999,feasible,0.6273903846740723,0.313696026802063,81695.79,feasible,264.25829458236694,132.12914764881134,70687.83999999998,feasible,30.835745334625244,15.417873501777649,86774.31000000003,feasible,53.506869316101074,26.753435611724854,84925.06,feasible,31.63644552230835,15.818223714828491,87259.51
/instancia_130projetos_10sondas_delta_t7.dat,feasible,0.18616509437561035,0.09308350086212158,155554.62999999998,feasible,1.657219648361206,0.8286106586456299,155786.72999999998,feasible,1.073688268661499,0.5368450880050659,154945.26999999996,feasible,101.37428164482117,50.68714165687561,157645.16999999998,feasible,285.9231617450714,142.9615820646286,154041.25999999998,feasible,94.85966372489929,47.42983281612396,154362.5,feasible,360.4941475391388,180.24707460403442,139165.06000000006
/instancia_40projetos_2sondas_delta_t28.dat,feasible,0.007674694061279297,0.003838181495666504,34156.51,feasible,0.09447503089904785,0.04723823070526123,34215.14,feasible,0.06325292587280273,0.03162729740142822,32481.780000000002,feasible,109.63763546943665,54.81881856918335,32786.18,feasible,18.818522930145264,9.409262418746948,34156.509999999995,feasible,10.800734281539917,5.400367498397827,29330.570000000007,feasible,6.6245152950286865,3.312258005142212,34052.380000000005
/instancia_160projetos_10sondas_delta_t1.dat,feasible,0.11354899406433105,0.05677485466003418,170374.52000000002,feasible,1.488553524017334,0.7442773580551147,169678.81000000003,feasible,0.7172102928161621,0.3586055040359497,168977.36000000004,feasible,343.33178544044495,171.66589307785034,168365.18000000002,feasible,193.59694743156433,96.79847419261932,166620.27,feasible,562.0104026794434,281.00520181655884,159437.43999999997,feasible,211.28579664230347,105.64289879798889,162143.31999999995
/instancia_190projetos_2sondas_delta_t28.dat,feasible,0.0411069393157959,0.0205538272857666,77329.79999999999,feasible,0.6254293918609619,0.31271517276763916,82190.59999999999,feasible,0.430267333984375,0.21513402462005615,83703.84999999999,feasible,471.04222083091736,235.521111369133,73051.6,feasible,270.4500126838684,135.22500669956207,72977.66,feasible,35.8857364654541,17.942868947982788,76366.73000000001,feasible,20.92972230911255,10.464861631393433,71329.25
/instancia_190projetos_2sondas_delta_t1.dat,feasible,0.040869712829589844,0.020435214042663574,49171.55000000001,feasible,0.47644615173339844,0.23822355270385742,50486.64000000001,feasible,0.47071027755737305,0.23535549640655518,49635.38999999999,feasible,31.008652448654175,15.504326462745667,47909.71000000001,feasible,30.886139154434204,15.44307005405426,49476.44000000001,feasible,42.82634210586548,21.413172006607056,42247.32000000001,feasible,20.38646411895752,10.193232774734497,44729.94000000002
/instancia_40projetos_2sondas_delta_t7.dat,feasible,0.009351015090942383,0.004676222801208496,36586.68,feasible,0.10081768035888672,0.050409555435180664,42401.72,feasible,0.09316563606262207,0.04658353328704834,40298.420000000006,feasible,27.338239669799805,13.669120788574219,38002.16,feasible,6.684190034866333,3.3420958518981934,39478.49,feasible,3.370421886444092,1.6852113008499146,41470.80999999999,feasible,7.171391010284424,3.5856958627700806,38257.93
/instancia_10projetos_10sondas_delta_t1.dat,feasible,0.0029020309448242188,0.0014513731002807617,15549.580000000002,feasible,0.02877640724182129,0.014388561248779297,15549.580000000002,feasible,0.017180919647216797,0.0085906982421875,15549.580000000002,feasible,0.2676534652709961,0.1338273286819458,10041.04,feasible,0.2759823799133301,0.1379915475845337,14224.26,feasible,0.28127384185791016,0.14063739776611328,5074.6,feasible,0.27430009841918945,0.13715040683746338,15082.17
/instancia_70projetos_2sondas_delta_t28.dat,feasible,0.012208938598632812,0.006104826927185059,40819.219999999994,feasible,0.18251562118530273,0.09125876426696777,40673.700000000004,feasible,0.20711398124694824,0.10355782508850098,44122.77,feasible,121.48635625839233,60.743178963661194,39540.420000000006,feasible,38.72116136550903,19.360581278800964,35983.649999999994,feasible,13.69640326499939,6.8482019901275635,40687.14000000001,feasible,7.554056882858276,3.777029037475586,40944.369999999995
