Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND
/instancia_70projetos_2sondas_delta_t7.dat,feasible,0.024410009384155273,0.01220548152923584,64753.71,feasible,2.077542543411255,1.0387717485427856,68540.08,feasible,1.7558424472808838,0.8779221773147583,69339.53,feasible,85.15353417396545,42.576767444610596,69189.54,feasible,103.41184663772583,51.70592391490936,66923.93999999999,feasible,73.65909194946289,36.829546332359314,68799.44,feasible,61.65722584724426,30.828613758087158,67256.90000000001
/instancia_10projetos_10sondas_delta_t7.dat,feasible,0.005660295486450195,0.0028308629989624023,7003.19,feasible,0.5719385147094727,0.28596997261047363,7016.8,feasible,0.40752291679382324,0.20376217365264893,7016.8,feasible,1.3909132480621338,0.6954573392868042,7016.8,feasible,0.4466829299926758,0.2233421802520752,7016.8,feasible,1.3673803806304932,0.683691143989563,7016.8,feasible,1.1734943389892578,0.5867477655410767,7016.8
/instancia_160projetos_2sondas_delta_t28.dat,feasible,0.07918214797973633,0.03959190845489502,85147.81000000001,feasible,7.836434364318848,3.918217897415161,87638.32,feasible,6.69962477684021,3.3498131036758423,90403.28,feasible,133.4336805343628,66.71684098243713,85125.0,feasible,57.86816120147705,28.93408191204071,88675.61,feasible,61.7657105922699,30.882856011390686,88959.56,feasible,57.58595514297485,28.792978405952454,84030.37999999995
/instancia_130projetos_10sondas_delta_t7.dat,feasible,0.19185900688171387,0.09593009948730469,154626.78999999998,feasible,22.177286386489868,11.088643789291382,156862.61,feasible,9.796797037124634,4.898399353027344,157974.17,feasible,651.7368056774139,325.8684034347534,156827.99999999997,feasible,154.8718147277832,77.43590795993805,157405.18,feasible,290.8980348110199,145.44901776313782,154528.61000000004,feasible,193.39860796928406,96.69930446147919,145082.57999999996
/instancia_40projetos_2sondas_delta_t28.dat,feasible,0.003729104995727539,0.001864790916442871,34156.51,feasible,0.39713287353515625,0.19856667518615723,34266.73,feasible,0.25545740127563477,0.12772905826568604,35326.86000000001,feasible,63.62712478637695,31.813562750816345,34156.51,feasible,57.93233799934387,28.966169238090515,35022.829999999994,feasible,36.61172032356262,18.30586087703705,34752.10000000001,feasible,21.286049127578735,10.643024802207947,35035.32000000001
/instancia_160projetos_10sondas_delta_t1.dat,feasible,0.11826157569885254,0.05913126468658447,167507.7,feasible,13.725768566131592,6.862884521484375,172603.27000000002,feasible,7.626899242401123,3.81344997882843,170348.54000000007,feasible,989.9998517036438,494.99992644786835,169911.90000000005,feasible,293.7659318447113,146.88296675682068,171101.38000000003,feasible,1020.1342651844025,510.06713342666626,163597.01000000007,feasible,221.37857937812805,110.68929052352905,163538.58999999997
/instancia_190projetos_2sondas_delta_t28.dat,feasible,0.09107089042663574,0.045535922050476074,81612.55999999997,feasible,9.877256631851196,4.9386290311813354,82820.73999999998,feasible,8.918018817901611,4.459010362625122,85541.1,feasible,320.5392487049103,160.269624710083,86075.46999999997,feasible,101.44824147224426,50.72412133216858,80554.05999999997,feasible,40.14536952972412,20.072685480117798,84315.59,feasible,79.7044951915741,39.85224795341492,75660.16999999997
/instancia_190projetos_2sondas_delta_t1.dat,feasible,0.040856361389160156,0.02042841911315918,49105.320000000014,feasible,4.601776838302612,2.3008886575698853,50067.600000000006,feasible,4.465765714645386,2.2328832149505615,50345.740000000005,feasible,192.4943277835846,96.24716436862946,50038.26,feasible,137.18144154548645,68.59072124958038,43190.65999999999,feasible,78.19313192367554,39.096566915512085,49107.72000000001,feasible,47.73725652694702,23.868629217147827,51452.29000000001
/instancia_40projetos_2sondas_delta_t7.dat,feasible,0.009620904922485352,0.00481104850769043,39487.719999999994,feasible,1.0047218799591064,0.5023614168167114,42401.72,feasible,0.9252529144287109,0.4626271724700928,45756.090000000004,feasible,15.570723295211792,7.785362362861633,40987.909999999996,feasible,14.692891120910645,7.3464460372924805,39094.29,feasible,18.717109441757202,9.358555674552917,40298.420000000006,feasible,8.529089450836182,4.264545440673828,33820.170000000006
/instancia_10projetos_10sondas_delta_t1.dat,feasible,0.006034374237060547,0.003018021583557129,15549.580000000002,feasible,0.6369426250457764,0.3184720277786255,15549.580000000002,feasible,0.3853747844696045,0.19268798828125,15549.580000000002,feasible,0.920722246170044,0.4603617191314697,15549.580000000002,feasible,0.6499860286712646,0.3249936103820801,15549.580000000002,feasible,1.5818994045257568,0.7909504175186157,14893.84,feasible,0.7374417781829834,0.36872148513793945,15082.17
/instancia_70projetos_2sondas_delta_t28.dat,feasible,0.023988723754882812,0.01199495792388916,41207.24,feasible,2.0500898361206055,1.02504563331604,42973.68,feasible,1.9800314903259277,0.9900165796279907,44019.95,feasible,37.8152232170105,18.907612323760986,41324.34999999999,feasible,27.98651647567749,13.993258833885193,41523.53000000001,feasible,29.711491584777832,14.855746269226074,41682.829999999994,feasible,9.565515279769897,4.782757997512817,42064.51
