Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND,delta (%) MS-H,delta (%) IG-H,delta (%) IG-MS,delta (%) GRASP_RVND-H,delta (%) GRASP_RVND-MS,delta (%) ILS_RVND-H,delta (%) ILS_RVND-MS,delta (%) GRASP_RVND-GRASP_VND,delta (%) ILS_RVND-ILS_VND,delta (%) ILS_RVND-GRASP_RVND
/instancia_170projetos_10sondas_delta_t28.dat,feasible,0.13116931915283203,0.06558501720428467,59740.06000000001,feasible,1.2320997714996338,0.616050124168396,59740.06000000002,feasible,0.681452751159668,0.3407268524169922,59618.77999999999,feasible,1333.0632438659668,666.5316224098206,59740.06000000002,feasible,3637.8324027061462,1818.916201710701,59740.06000000002,feasible,1033.210517168045,516.6052589416504,59718.39,feasible,2981.1544597148895,1490.5772302150726,59757.600000000006,1.217936107560559e-16,-0.0020301285268213764,-0.002030128526821498,1.217936107560559e-16,0.0,0.00029360532948901615,0.0002936053294888943,0.0,0.0006565816660497111,0.0002936053294888943
/instancia_60projetos_2sondas_delta_t28.dat,feasible,0.005108833312988281,0.002554774284362793,12958.85,feasible,0.04553699493408203,0.022768735885620117,12434.29,feasible,0.03505730628967285,0.017529010772705078,13014.1,feasible,234.0940864086151,117.04704356193542,13408.92,feasible,256.7812294960022,128.39061510562897,13534.619999999999,feasible,142.69355964660645,71.34678018093109,13541.76,feasible,135.7721128463745,67.88605678081512,13534.620000000003,-0.040478900519722,0.004263495603390733,0.04662992418545807,0.04443064006451179,0.08849158255115475,0.04443064006451207,0.08849158255115505,0.009374356771462497,-0.0005272579044376506,2.687906130420886e-16
/instancia_160projetos_2sondas_delta_t28.dat,feasible,0.02924323081970215,0.014621973037719727,46277.83999999999,feasible,0.28540492057800293,0.14270293712615967,47512.78,feasible,0.2274036407470703,0.11370229721069336,46811.31999999999,feasible,297.2717728614807,148.6358870267868,48228.72,feasible,206.09372091293335,103.04686081409454,47909.73,feasible,213.39071249961853,106.69535684585571,47438.67999999999,feasible,165.66059041023254,82.83029568195343,47801.15999999999,0.026685342271808923,0.011527763612130629,-0.01476360676011815,0.035262881759390984,0.008354594279686526,0.03291683449357187,0.0060695248730970935,-0.006614108771702793,0.0076410220520468945,-0.0022661367534322205
/instancia_40projetos_2sondas_delta_t28.dat,feasible,0.003725767135620117,0.001863241195678711,12758.29,feasible,0.03366279602050781,0.016831636428833008,13623.520000000002,feasible,0.024379730224609375,0.01219034194946289,13454.060000000001,feasible,795.4011197090149,397.7005603313446,13623.52,feasible,797.3759577274323,398.687979221344,13584.970000000001,feasible,423.9939501285553,211.99697542190552,14198.19,feasible,435.6051893234253,217.80259501934052,14477.050000000001,0.06781708206977591,0.05453473780577181,-0.012438782341127764,0.06479551726759622,-0.002829665167298986,0.13471711334355937,0.06265120908546387,-0.002829665167298853,0.019640531645230875,0.06566668899526461
/instancia_30projetos_2sondas_delta_t28.dat,feasible,0.0019025802612304688,0.0009517669677734375,4699.380596537244,feasible,0.01816558837890625,0.009083271026611328,4699.795936122565,feasible,0.013408184051513672,0.006704568862915039,4699.795936122565,feasible,66.63310837745667,33.31655466556549,4699.795936122566,feasible,104.77731895446777,52.388660073280334,4699.795936122566,feasible,50.51963210105896,25.259816527366638,4699.795936122565,feasible,88.71693754196167,44.35846936702728,4699.795936122568,8.838177219077598e-05,8.838177219077598e-05,0.0,8.838177219096953e-05,1.9351791314651874e-16,8.838177219135659e-05,5.805537394395562e-16,0.0,5.805537394395562e-16,3.8703582629303743e-16
/instancia_70projetos_2sondas_delta_t28.dat,feasible,0.007864236831665039,0.003932595252990723,22356.750000000004,feasible,0.07394623756408691,0.03697359561920166,23434.499999999996,feasible,0.05368375778198242,0.026842236518859863,22420.73,feasible,655.19842004776,327.5992103815079,24984.83,feasible,601.750344991684,300.87517297267914,24691.190000000002,feasible,417.63028049468994,208.81514084339142,24963.959999999995,feasible,562.9068176746368,281.4534091949463,24482.52,0.04820691737394713,0.002861775526406831,-0.04325972391132719,0.10441768146085627,0.053625637414922704,0.09508403502297948,0.044721244319273046,-0.011752731557509073,-0.019285401835285553,-0.00845119251036511
/instancia_110projetos_5sondas_delta_t28.dat,feasible,0.03098273277282715,0.015491724014282227,33565.479999999996,feasible,0.33127760887145996,0.16563916206359863,33587.13,feasible,0.17894601821899414,0.08947336673736572,34407.840000000004,feasible,732.1385822296143,366.069291472435,33762.139999999985,feasible,1578.348164319992,789.1740827560425,33632.61000000001,feasible,587.1438302993774,293.5719156265259,35925.13,feasible,997.2118189334869,498.60590982437134,35646.96,0.0006450079069329996,0.025096021269471133,0.024435252431511907,0.0019999713991878543,0.0013540900934378877,0.062012520005672596,0.06132795508279516,-0.003836545906153374,-0.007743047833090605,0.059892764789886685
/instancia_120projetos_5sondas_delta_t28.dat,feasible,0.03860783576965332,0.019304394721984863,42627.13999999999,feasible,0.43194580078125,0.2159733772277832,43641.14999999999,feasible,0.19853949546813965,0.09927010536193848,43201.59,feasible,1111.479608297348,555.7398045063019,42955.999999999985,feasible,2182.8272638320923,1091.413632273674,43427.65999999999,feasible,967.5127716064453,483.7563861608505,44901.57999999999,feasible,1967.8516623973846,983.9258315563202,42071.79,0.0237878966311133,0.013476156270394975,-0.010072145211571888,0.018779585024939437,-0.004891942581714689,-0.013028084924299198,-0.03596055557655989,0.010980072632461209,-0.0630220584665392,-0.031221346026932797
/instancia_100projetos_2sondas_delta_t28.dat,feasible,0.012746572494506836,0.006373763084411621,29378.36239073243,feasible,0.12284350395202637,0.061422109603881836,30168.86826272343,feasible,0.09994173049926758,0.04997122287750244,29623.694908716705,feasible,872.0180423259735,436.0090216398239,30978.70447804236,feasible,813.3643181324005,406.6821595430374,30463.572355049346,feasible,640.3101561069489,320.1550785303116,30887.090251078353,feasible,669.9254758358002,334.96273851394653,30191.24445375421,0.026907758215970905,0.00835078942526992,-0.018070726063010457,0.03693908972473062,0.009768483516169916,0.027669413706946776,0.0007416980589367443,-0.01662858830517393,-0.022528693757413686,-0.008939460484843524
/instancia_140projetos_2sondas_delta_t28.dat,feasible,0.02202463150024414,0.011012673377990723,32212.31,feasible,0.27641725540161133,0.13820910453796387,33392.420000000006,feasible,0.18621826171875,0.09310948848724365,33295.69,feasible,451.90748405456543,225.95374250411987,34064.49,feasible,309.4823467731476,154.74117374420166,34484.909999999996,feasible,515.2593920230865,257.62969636917114,34408.03000000001,feasible,294.4628596305847,147.23143017292023,34543.36999999999,0.036635373247060024,0.03363248397895093,-0.0028967651940171807,0.07055066836249853,0.03271670636629482,0.0723655025050978,0.03446740308129756,0.012341884466786331,0.003933384154802662,0.0016952342343358837
