Instancia,Viabilidade H,Tempo total (s) H,Tempo medio (s) H,Valor da função objetivo H,Viabilidade MS,Tempo total (s) MS,Tempo medio (s) MS,Valor da função objetivo MS,Viabilidade IG,Tempo total (s) IG,Tempo medio (s) IG,Valor da função objetivo IG,Viabilidade GRASP_VND,Tempo total (s) GRASP_VND,Tempo medio (s) GRASP_VND,Valor da função objetivo GRASP_VND,Viabilidade GRASP_RVND,Tempo total (s) GRASP_RVND,Tempo medio (s) GRASP_RVND,Valor da função objetivo GRASP_RVND,Viabilidade ILS_VND,Tempo total (s) ILS_VND,Tempo medio (s) ILS_VND,Valor da função objetivo ILS_VND,Viabilidade ILS_RVND,Tempo total (s) ILS_RVND,Tempo medio (s) ILS_RVND,Valor da função objetivo ILS_RVND
/instancia_70projetos_2sondas_delta_t7.dat,feasible,0.015045881271362305,0.007523655891418457,12783.729999999998,feasible,0.14410638809204102,0.07205402851104736,13955.83,feasible,0.12080121040344238,0.06040143966674805,13367.95,feasible,2630.1465203762054,1315.073261141777,14387.81,feasible,1178.8387968540192,589.4193992614746,14338.39,feasible,1253.6327996253967,626.8164006471634,14862.28,feasible,596.811416387558,298.40570855140686,14651.779999999999
/instancia_10projetos_10sondas_delta_t7.dat,feasible,0.0026068687438964844,0.0013036727905273438,3741.13,feasible,0.02405834197998047,0.012029647827148438,3741.13,feasible,0.032404184341430664,0.016202807426452637,3741.13,feasible,21.901100397109985,10.950550556182861,3741.13,feasible,37.42001557350159,18.71000862121582,3741.13,feasible,14.423873901367188,7.211937308311462,3741.13,feasible,10.176387071609497,5.088193893432617,3741.13
/instancia_160projetos_2sondas_delta_t28.dat,feasible,0.025609254837036133,0.012804865837097168,25918.74,feasible,0.2649567127227783,0.13247883319854736,26301.22,feasible,0.2196788787841797,0.10983967781066895,25531.34,feasible,394.6343755722046,197.31718862056732,27886.87,feasible,469.41722893714905,234.70861530303955,27301.719999999998,feasible,514.6140375137329,257.3070194721222,27311.429999999997,feasible,275.3395748138428,137.6697882413864,27684.539999999997
/instancia_130projetos_10sondas_delta_t7.dat,feasible,0.16861629486083984,0.08430886268615723,29179.559999999998,feasible,1.5871689319610596,0.7935851812362671,29799.770000000004,feasible,0.9284214973449707,0.4642115831375122,29965.54000000001,feasible,1867.8080999851227,933.9040509462357,30616.63,feasible,6466.024912595749,3233.0124571323395,30707.800000000007,feasible,951.706217288971,475.85310912132263,30848.380000000005,feasible,3445.850746870041,1722.9253741502762,31170.930000000004
/instancia_40projetos_2sondas_delta_t28.dat,feasible,0.0035371780395507812,0.0017690658569335938,4373.7300000000005,feasible,0.03365349769592285,0.016827106475830078,4754.209999999999,feasible,0.02478194236755371,0.012391328811645508,4754.21,feasible,124.42330169677734,62.21165144443512,4754.210000000001,feasible,332.1231155395508,166.06155860424042,4754.210000000002,feasible,115.29777908325195,57.648889899253845,4754.210000000001,feasible,115.744544506073,57.87227261066437,4754.210000000001
/instancia_160projetos_10sondas_delta_t1.dat,feasible,0.10561442375183105,0.05280768871307373,75685.22,feasible,1.063889980316162,0.5319454669952393,76933.23999999999,feasible,0.711184024810791,0.35559237003326416,75638.33000000002,feasible,506.5722725391388,253.28613662719727,75899.28,feasible,2400.51744890213,1200.2587249279022,75899.28,feasible,369.64567279815674,184.82283675670624,76370.30000000002,feasible,1685.082230091095,842.5411157608032,76048.14
/instancia_190projetos_2sondas_delta_t28.dat,feasible,0.07549905776977539,0.03775036334991455,36056.53000000001,feasible,0.7236464023590088,0.36182403564453125,38411.780000000006,feasible,0.6212723255157471,0.31063687801361084,41231.63,feasible,1024.6306076049805,512.3153047561646,42375.49,feasible,273.24855184555054,136.62427639961243,41594.79000000001,feasible,392.79759454727173,196.39879763126373,40221.64,feasible,231.34495329856873,115.67247700691223,42217.83
/instancia_190projetos_2sondas_delta_t1.dat,feasible,0.03392148017883301,0.016961216926574707,26541.719999999998,feasible,0.4275631904602051,0.2137821912765503,25747.38,feasible,0.6434218883514404,0.32171177864074707,24911.500000000004,feasible,593.5344829559326,296.7672424316406,26855.69,feasible,449.11708331108093,224.55854272842407,25633.809999999998,feasible,864.3941504955292,432.1970760822296,26237.05,feasible,336.9759302139282,168.48796582221985,27791.62
/instancia_40projetos_2sondas_delta_t7.dat,feasible,0.005868434906005859,0.002935051918029785,10227.35,feasible,0.05419921875,0.027100324630737305,10412.37,feasible,0.044385671615600586,0.022193431854248047,10412.370000000003,feasible,398.61471581459045,199.30735874176025,10412.370000000003,feasible,451.4241769313812,225.71208894252777,10412.370000000003,feasible,152.38885879516602,76.19442975521088,10412.370000000003,feasible,200.28228092193604,100.14114081859589,10412.370000000003
/instancia_10projetos_10sondas_delta_t1.dat,feasible,0.002663850784301758,0.0013322830200195312,4175.49,feasible,0.024355411529541016,0.01217806339263916,4175.49,feasible,0.021693706512451172,0.010847210884094238,4175.49,feasible,19.62911820411682,9.81455934047699,4175.49,feasible,28.524895191192627,14.262447953224182,4175.49,feasible,10.696045160293579,5.348022937774658,4175.49,feasible,15.716630935668945,7.858315825462341,4175.49
/instancia_70projetos_2sondas_delta_t28.dat,feasible,0.007704496383666992,0.0038526058197021484,17019.82,feasible,0.06471920013427734,0.032359957695007324,17745.449999999997,feasible,0.05313563346862793,0.026568055152893066,17900.61,feasible,676.4617612361908,338.23088133335114,17990.16,feasible,725.3791785240173,362.68958961963654,17828.18,feasible,558.548009634018,279.274005651474,18852.23,feasible,443.9088990688324,221.95445024967194,18303.39
