Instancia,Viabilidade,Criterio guloso,Tempo total (s),Tempo medio (s),Valor da função objetivo,MultStart viabilidade,MultStart Tempo total (s),MultStart Tempo medio (s),MultStart Função Objetivo,delta (%)
/instancia_500projetos_10sondas_delta_t1.dat,feasible,lucro,2.0031578540802,1.001579761505127,76432.11034489781,feasible,196.96501064300537,98.48250615596771,76968.7684643703,0.007021369906585475
/instancia_500projetos_10sondas_delta_t1.dat,feasible,lucro/custo,1.9089157581329346,0.9544587135314941,75412.50730890427,feasible,196.96501064300537,98.48250615596771,76968.7684643703,0.02063664517997363
/instancia_500projetos_10sondas_delta_t1.dat,feasible,lucro/duracao,1.9176254272460938,0.9588136672973633,75489.6799768014,feasible,196.96501064300537,98.48250615596771,76968.7684643703,0.01959325417757009
/instancia_500projetos_10sondas_delta_t1.dat,feasible,custo,1.9556934833526611,0.9778475761413574,61628.454960289615,feasible,196.96501064300537,98.48250615596771,76968.7684643703,0.2489160812803961
/instancia_500projetos_10sondas_delta_t1.dat,feasible,duracao,2.314775228500366,1.1573885679244995,66643.01322229784,feasible,196.96501064300537,98.48250615596771,76968.7684643703,0.15494130206311854
/instancia_500projetos_10sondas_delta_t1.dat,feasible,janela,2.805874824523926,1.4029381275177002,58310.05383776128,feasible,196.96501064300537,98.48250615596771,76968.7684643703,0.31999138053489035
/instancia_50projetos_2sondas_delta_t7.dat,feasible,lucro,0.00898122787475586,0.004491209983825684,7824.026279883713,feasible,0.8953373432159424,0.44766950607299805,8774.811799811217,0.1215212584819738
/instancia_50projetos_2sondas_delta_t7.dat,feasible,lucro/custo,0.009619951248168945,0.004810810089111328,7342.506617699087,feasible,0.8953373432159424,0.44766950607299805,8774.811799811217,0.19507032906985253
/instancia_50projetos_2sondas_delta_t7.dat,feasible,lucro/duracao,0.009000539779663086,0.004500985145568848,7651.547384817471,feasible,0.8953373432159424,0.44766950607299805,8774.811799811217,0.14680225560944396
/instancia_50projetos_2sondas_delta_t7.dat,feasible,custo,0.009288549423217773,0.004644989967346191,6162.921721758398,feasible,0.8953373432159424,0.44766950607299805,8774.811799811217,0.42380711551656663
/instancia_50projetos_2sondas_delta_t7.dat,feasible,duracao,0.009921073913574219,0.004961252212524414,5356.826738851262,feasible,0.8953373432159424,0.44766950607299805,8774.811799811217,0.6380615292576964
/instancia_50projetos_2sondas_delta_t7.dat,feasible,janela,0.010363101959228516,0.005182147026062012,6607.638748357928,feasible,0.8953373432159424,0.44766950607299805,8774.811799811217,0.3279799538060182
/instancia_500projetos_2sondas_delta_t28.dat,feasible,lucro,0.4216337203979492,0.21081781387329102,54450.13832286981,feasible,46.9557843208313,23.477892994880676,85476.08420224302,0.5698047210716062
/instancia_500projetos_2sondas_delta_t28.dat,feasible,lucro/custo,0.45729565620422363,0.22864866256713867,97436.7928494447,feasible,46.9557843208313,23.477892994880676,85476.08420224302,-0.12275351330254552
/instancia_500projetos_2sondas_delta_t28.dat,feasible,lucro/duracao,0.48720383644104004,0.24360275268554688,80505.7296477831,feasible,46.9557843208313,23.477892994880676,85476.08420224302,0.06173914050845185
/instancia_500projetos_2sondas_delta_t28.dat,feasible,custo,0.4617934226989746,0.2308976650238037,43181.96506314853,feasible,46.9557843208313,23.477892994880676,85476.08420224302,0.9794394274842363
/instancia_500projetos_2sondas_delta_t28.dat,feasible,duracao,0.5316336154937744,0.26581764221191406,44415.9807898263,feasible,46.9557843208313,23.477892994880676,85476.08420224302,0.9244443707482359
/instancia_500projetos_2sondas_delta_t28.dat,feasible,janela,0.6009974479675293,0.30049943923950195,36333.017605061934,feasible,46.9557843208313,23.477892994880676,85476.08420224302,1.35257321952621
/instancia_1000projetos_20sondas_delta_t28.dat,feasible,lucro,16.618850469589233,8.309425950050354,334409.00136195717,feasible,917.2974631786346,458.6487320661545,336483.4225968568,0.006203245805139972
/instancia_1000projetos_20sondas_delta_t28.dat,feasible,lucro/custo,16.070406198501587,8.03520393371582,338902.2925948449,feasible,917.2974631786346,458.6487320661545,336483.4225968568,-0.0071373668778329765
/instancia_1000projetos_20sondas_delta_t28.dat,feasible,lucro/duracao,16.203292846679688,8.10164725780487,330260.0986938135,feasible,917.2974631786346,458.6487320661545,336483.4225968568,0.018843705090795655
/instancia_1000projetos_20sondas_delta_t28.dat,feasible,custo,15.426275491714478,7.713138461112976,306641.42707601574,feasible,917.2974631786346,458.6487320661545,336483.4225968568,0.09731886459504141
/instancia_1000projetos_20sondas_delta_t28.dat,feasible,duracao,18.41307020187378,9.206535935401917,308337.9565800869,feasible,917.2974631786346,458.6487320661545,336483.4225968568,0.09128122378750812
/instancia_1000projetos_20sondas_delta_t28.dat,feasible,janela,22.322110652923584,11.161056160926819,277914.72525797,feasible,917.2974631786346,458.6487320661545,336483.4225968568,0.21074341161491647
/instancia_50projetos_2sondas_delta_t1.dat,feasible,lucro,0.008088827133178711,0.004045248031616211,11053.973715438467,feasible,0.4061393737792969,0.20307016372680664,11671.30656139236,0.055847142561203954
/instancia_50projetos_2sondas_delta_t1.dat,feasible,lucro/custo,0.00849008560180664,0.004245638847351074,10791.136633223241,feasible,0.4061393737792969,0.20307016372680664,11671.30656139236,0.08156415381298152
/instancia_50projetos_2sondas_delta_t1.dat,feasible,lucro/duracao,0.00852513313293457,0.004263162612915039,10932.675351253982,feasible,0.4061393737792969,0.20307016372680664,11671.30656139236,0.06756179859064944
/instancia_50projetos_2sondas_delta_t1.dat,feasible,custo,0.009005546569824219,0.004503607749938965,10078.47186587164,feasible,0.4061393737792969,0.20307016372680664,11671.30656139236,0.15804327448831598
